GUID,Id,Name,Language
1,1,Афганистан,bg
2,2,Албания,bg
3,3,Алжир,bg
4,4,Американска Самоа,bg
5,5,Андора,bg
6,6,Ангола,bg
7,7,Ангила,bg
8,8,Антарктика,bg
9,9,Антигуа и Барбуда,bg
10,10,Аржентина,bg
11,11,Армения,bg
12,12,Аруба,bg
13,13,Австралия,bg
14,14,Австрия,bg
15,15,Азербайджан,bg
16,16,Бахами,bg
17,17,Бахрейн,bg
18,18,Бангладеш,bg
19,19,Барбадос,bg
20,20,Беларус,bg
21,21,Белгия,bg
22,22,Белиз,bg
23,23,Бенин,bg
24,24,Бермудски острови,bg
25,25,Бутан,bg
26,26,Боливия (Многонационална държава),bg
27,27,"Бонер, Синт Евстатиус и Саба",bg
28,28,Босна и Херцеговина,bg
29,29,Ботсвана,bg
30,30,Остров Буве,bg
31,31,Бразилия,bg
32,32,Британска територия в Индийския океан,bg
33,33,Бруней Даруссалам,bg
34,34,България,bg
35,35,Буркина Фасо,bg
36,36,Бурунди,bg
37,37,Кабо Верде,bg
38,38,Камбоджа,bg
39,39,Камерун,bg
40,40,Канада,bg
41,41,Кайманови острови,bg
42,42,Централноафриканска република,bg
43,43,Чад,bg
44,44,Чили,bg
45,45,Китай,bg
46,46,Остров Рождество,bg
47,47,Кокосови (Кийлинг) острови,bg
48,48,Колумбия,bg
49,49,Коморски острови,bg
50,50,Конго (Демократична република),bg
51,51,Конго,bg
52,52,Острови Кук,bg
53,53,Коста Рика,bg
54,54,Хърватия,bg
55,55,Куба,bg
56,56,Кюрасао,bg
57,57,Кипър,bg
58,58,Чехия,bg
59,59,Кот д'Ивоар,bg
60,60,Дания,bg
61,61,Джибути,bg
62,62,Доминика,bg
63,63,Доминиканска република,bg
64,64,Еквадор,bg
65,65,Египет,bg
66,66,Ел Салвадор,bg
67,67,Екваториална Гвинея,bg
68,68,Еритрея,bg
69,69,Естония,bg
70,70,Есватини,bg
71,71,Етиопия,bg
72,72,Фолкландски острови (Малвини),bg
73,73,Фарьорски острови,bg
74,74,Фиджи,bg
75,75,Финландия,bg
76,76,Франция,bg
77,77,Френска Гвиана,bg
78,78,Френска Полинезия,bg
79,79,Френски южни територии,bg
80,80,Габон,bg
81,81,Гамбия,bg
82,82,Грузия,bg
83,83,Германия,bg
